Cor ou raça;População (pessoas);Município;Sigla UF;Código do Município
Branca;275336;Niterói ;RJ;3303302
Preta;60286;Niterói ;RJ;3303302
Amarela;1161;Niterói ;RJ;3303302
Parda;144324;Niterói ;RJ;3303302
Indígena;625;Niterói ;RJ;3303302
