Prefeito,Gentílico,Área Territorial,População residente,Densidade demográfica,Escolarização 6 a 14 anos,IDHM Índice de desenvolvimento humano municipal,Mortalidade infantil,Receitas realizadas,Despesas empenhadas,PIB per capita
AXEL SCHMIDT GRAEL,niteroiense,133.757 km²,481749 pessoas,3601.67 hab/km²,97 %,0.837,11.4 óbitos por mil nascidos vivos,6015119140 R$ (×1000),5303439600 R$ (×1000),128333.01 R$
2021,,2022,2022,2022,2010,2010,2022,2023,2023,2021
