Ano da pesquisa;População(pessoas);Município;Sigla UF;Código do Município
1970;324246;Niterói ;RJ;3303302
1980;397135;Niterói ;RJ;3303302
1991;436155;Niterói ;RJ;3303302
2000;459451;Niterói ;RJ;3303302
2010;487562;Niterói ;RJ;3303302
2022;481749;Niterói ;RJ;3303302
